Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Drivetrain,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type,min_MPG,max_MPG,avg_MPG
2023,Honda,Ridgeline RTL,New,46370,4.8,9,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F58PB011817,830164,10,5,4.8,4.8,4.2,5,5,CA,Dealer,17.825,24.075,20.95
2023,Honda,CR-V Hybrid Sport,New,34245,4.7,2869,Meteorite Gray Metallic,fwd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H55PH704805,PH704805,1,5,3,4,4,5,5,CA,Dealer,41.8,35.2,38.5
2022,Honda,Pilot TrailSport,New,46500,5,12,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H82NB100429,5700429B,5,5,5,5,5,5,5,CA,Dealer,19,25,22
2023,Honda,CR-V Hybrid Sport Touring,New,40395,4.4,12,Crystal Black Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H90PH805954,5705954,5,5,3,4,4,5,5,CA,Dealer,40,34,37
2023,Honda,Odyssey EX-L,New,42250,4.4,12,Pacific Pewter Metallic,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H67PB024270,5724270,5,5,5,4,4,4,5,CA,Dealer,18.93220339,27.80508475,23.36864407
2022,Honda,Pilot Special Edition,New,44600,5,333,Dark Cherry Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H2XNB087120,78543,3,5,5,5,5,5,5,NV,Dealer,19,26,22.5
2023,Honda,CR-V EX-L,New,34640,4.7,2051,Crystal Black Pearl,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,5J6RS4H77PL000638,PL000638,5,5,5,5,4,4,5,AZ,Dealer,26.13043478,32.0326087,29.08152174
2023,Honda,Pilot Sport,New,42595,4.3,1239,Lunar Silver Metallic,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYG1H3XPB002207,44695,1,5,5,5,5,5,5,UT,Dealer,19,25,22
2023,Honda,Pilot Elite,New,53720,4.3,1239,White,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYG1H80PB000865,44677,1,4.9,4.8,4.8,4.7,4.7,4.8,UT,Dealer,19,25,22
2023,Honda,CR-V Hybrid Sport Touring,New,40939,4.5,1972,Platinum White Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H97PH800251,PH800251,15,5,3,4,4,5,5,CO,Dealer,40,34,37
2022,Honda,Ridgeline RTL-E,New,43190,4.7,790,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F73NB023890,229145,10,5,4.9,4.9,4.3,4.7,5,WA,Dealer,18,24,21
2022,Honda,Ridgeline RTL-E,New,42795,4.7,790,Obsidian Blue Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F71NB015061,229118,9268,5,4.9,4.9,4.3,4.7,5,WA,Dealer,18,24,21
2022,Honda,Passport Elite,New,41950,4.7,790,Obsidian Blue Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H05NB011492,224029,9352,5,5,4.9,5,4.9,5,WA,Dealer,19,24,21.5
2023,Honda,Ridgeline RTL-E,New,48820,4.8,6,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F74PB012903,X7016,5,5,4.8,4.8,4.2,5,5,NE,Dealer,18.10909091,24.21818182,21.16363636
2022,Honda,Accord Sport 1.5T,New,30469,5,5,Platinum White Pearl,fwd,Gasoline,cvt,4 Cylinder Engine,1HGCV1F32NA089319,22049,4,5,5,5,5,5,5,OK,Dealer,29,35,32
2023,Honda,HR-V Sport,New,29039,4.6,5,Platinum White Pearl,awd,Gasoline,cvt,4 Cylinder Engine,3CZRZ2H52PM722919,23027,16,4,5,4,5,5,5,OK,Dealer,25,30,27.5
2023,Honda,CR-V EX-L,New,36504,4.7,5,Crystal Black Pearl,awd,Gasoline,automatic,4 Cylinder Engine,2HKRS4H79PH400825,23011,2,5,5,5,4,4,5,OK,Dealer,27,32,29.5
2023,Honda,CR-V Hybrid Sport Touring,New,40239,4.4,5,Platinum White Pearl,awd,Hybrid,cvt,4 Cylinder Engine,2HKRS6H94PH800174,23023,7,5,3,4,4,5,5,OK,Dealer,40,34,37
2023,Honda,CR-V Hybrid Sport,New,34089,4.4,5,Platinum White Pearl,fwd,Hybrid,cvt,4 Cylinder Engine,2HKRS5H54PH700891,23029,2,5,3,4,4,5,5,OK,Dealer,43,36,39.5
2022,Honda,Civic Sport,New,25845,4.6,5,Rallye Red,fwd,Gasoline,cvt,4 Cylinder Engine,19XFL2H87NE021708,22015,18,4.6,4.9,4.4,4.6,4.6,4.7,OK,Dealer,29,37,33
2022,Honda,Pilot TrailSport,New,46420,4.4,877,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H89NB083368,HN209,5,5,5,5,5,5,5,OK,Dealer,19,25,22
2022,Honda,Passport Elite,New,47620,4.9,273,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H08NB029825,NB029825,10,5,5,4.9,5,4.9,5,TX,Dealer,19,24,21.5
2022,Honda,Pilot Sport,New,39595,4.5,1691,Crystal Black Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H38NB102612,NB102612,5,5,5,5,5,5,5,TX,Dealer,19,26,22.5
2023,Honda,Ridgeline RTL,New,43482,5,2291,Radiant Red Metallic II,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F56PB012724,PB012724,5,5,4.8,4.8,4.2,5,5,TX,Dealer,17.825,24.075,20.95
2023,Honda,CR-V EX-L,New,35400,4.9,2843,Platinum White Pearl,fwd,Gasoline,automatic,1.5L I4 16V DOHC,2HKRS3H72PH300656,43018,10,5,5,5,4,4,5,TX,Dealer,26.13043478,32.0326087,29.08152174
2022,Honda,Pilot TrailSport,New,46500,4.6,880,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H86NB084560,NB084560,8,5,5,5,5,5,5,OK,Dealer,19,25,22
2022,Honda,Accord Sport 1.5T,New,30470,4.8,723,Platinum White Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F32NA061052,H061052R,5,5,5,5,5,5,5,KS,Dealer,29,35,32
2022,Honda,Accord Sport 2.0T,New,35150,4.8,723,Platinum White Pearl,fwd,Gasoline,automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F32NA025528,H025528,5,5,5,5,5,5,5,KS,Dealer,22,32,27
2022,Honda,Accord Sport 1.5T,New,30075,4.8,723,Crystal Black Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39NA061033,H061033R,5,5,5,5,5,5,5,KS,Dealer,29,35,32
2022,Honda,Accord Sport 1.5T,New,30470,4.9,559,Platinum White Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F34NA116455,116455,10,5,5,5,5,5,5,TX,Dealer,29,35,32
2022,Honda,Pilot TrailSport,New,46719,4.5,820,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H84NB098618,DNF098618,6,5,5,5,5,5,5,IA,Dealer,19,25,22
2022,Honda,Pilot EX-L,New,43605,5,2231,Lunar Silver Metallic,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H59NB104872,221983,0,5,5,5,5,5,5,MN,Dealer,19,26,22.5
2023,Honda,CR-V EX,New,34860,4.7,13,Platinum White Pearl,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,5J6RS4H41PL003427,H13514,5,5,5,5,4,4,5,IA,Dealer,26.14772727,31.85227273,29
2023,Honda,Odyssey Sport,New,43160,4.4,13,Platinum White Pearl,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H71PB035452,H13509,6,5,5,4,4,4,5,IA,Dealer,19,28,23.5
2022,Honda,Passport EX-L,New,43230,4.9,13,Radiant Red Metallic II,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H54NB031485,H13426,1,5,5,4.9,5,4.9,5,IA,Dealer,19,24,21.5
2023,Honda,CR-V EX-L,New,36505,4.7,13,Lunar Silver Metallic,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS4H78PH401352,H13416,6,5,5,5,4,4,5,IA,Dealer,26.13043478,32.0326087,29.08152174
2023,Honda,CR-V EX,New,34250,4.7,13,Platinum White Pearl,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS4H49PH411250,H13505,6,5,5,5,4,4,5,IA,Dealer,26.14772727,31.85227273,29
2022,Honda,Pilot TrailSport,New,46500,5,13,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H85NB077633,H13377,16,5,5,5,5,5,5,IA,Dealer,19,25,22
2023,Honda,CR-V EX-L,New,35005,4.7,13,Meteorite Gray Metallic,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,5J6RS3H71PL000919,H13504,1,5,5,5,4,4,5,IA,Dealer,26.13043478,32.0326087,29.08152174
2023,Honda,CR-V EX-L,New,37055,4.7,13,Crystal Black Pearl,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS4H73PH411903,H13515,1,5,5,5,4,4,5,IA,Dealer,26.13043478,32.0326087,29.08152174
2022,Honda,Passport TrailSport,New,47848,4.9,13,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H66NB020920,H13362,32,5,5,4.9,5,4.9,5,IA,Dealer,19,24,21.5
2022,Honda,Pilot Special Edition,New,44205,5,13,Modern Steel Metallic,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H24NB086304,H13400,1,5,5,5,5,5,5,IA,Dealer,19,26,22.5
2022,Honda,CR-V Touring,New,36845,4.8,3,Lunar Silver Metallic,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRW2H90NH666757,221714,10,4.9,4.8,4.7,4.8,4.7,4.9,LA,Dealer,27,32,29.5
2023,Honda,Passport TrailSport,New,44290,4.8,3,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H60PB003596,231824,12,5,5,4.9,5,4.9,5,LA,Dealer,19,24,21.5
2022,Honda,Pilot Special Edition,New,44100,5,3,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H20NB100232,221813,5,5,5,5,5,5,5,LA,Dealer,19,26,22.5
2023,Honda,CR-V EX-L,New,38500,4.7,3,Crystal Black Pearl,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS4H75PH407917,231827,12,5,5,5,4,4,5,LA,Dealer,26.13043478,32.0326087,29.08152174
2023,Honda,CR-V EX-L,New,37000,4.7,3,Silver,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS3H7XPH300162,231757,12,5,5,5,4,4,5,LA,Dealer,26.13043478,32.0326087,29.08152174
2023,Honda,CR-V EX-L,New,35400,4.7,7,Platinum White Pearl,fwd,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,2HKRS3H72PH300186,25679,5,5,5,5,4,4,5,LA,Dealer,26.13043478,32.0326087,29.08152174
2023,Honda,CR-V EX-L,New,35900,4.7,7,Urban Gray Pearl,awd,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,2HKRS4H70PH409106,25796,3,5,5,5,4,4,5,LA,Dealer,26.13043478,32.0326087,29.08152174
2023,Honda,CR-V EX-L,New,36505,3.7,270,Lunar Silver Metallic,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS4H77PH401343,23H134,2,5,5,5,4,4,5,IA,Dealer,26.13043478,32.0326087,29.08152174
2022,Honda,Pilot Touring 8-Passenger,New,48860,5,14,White,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYF6H62NB099796,H22660,2,5,5,5,5,5,5,WI,Dealer,19,26,22.5
2022,Honda,Accord Hybrid Sport,New,34555,4.7,328,White,fwd,Hybrid,automatic,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F21NA044794,223864,12,4.9,5,5,4.9,4.9,5,LA,Dealer,44,41,42.5
2022,Honda,Pilot Sport,New,39780,5,1516,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB104164,22843,5,5,5,5,5,5,5,LA,Dealer,19,26,22.5
2023,Honda,Passport TrailSport,New,41441,4.2,415,Black,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H66PB001092,PB001092,4,5,5,4.9,5,4.9,5,LA,Dealer,19,24,21.5
2022,Honda,Pilot Sport,New,41770,5,1,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H39NB099350,40T404,5,5,5,5,5,5,5,IL,Dealer,19,26,22.5
2023,Honda,Odyssey Sport,New,43050,4.4,1,Platinum White Pearl,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H77PB023354,40T402,5,5,5,4,4,4,5,IL,Dealer,19,28,23.5
2023,Honda,Ridgeline Black Edition,New,44042,5,4272,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F82PB009605,H30108,5,5,4.8,4.8,4.2,5,5,IL,Dealer,18.07692308,24.26923077,21.17307692
2022,Honda,Pilot Sport,New,41770,4.7,436,Platinum White Pearl,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYF6H39NB100609,P100609,7,5,5,5,5,5,5,IL,Dealer,19,26,22.5
2023,Honda,Odyssey Sport,New,42655,4.6,1874,Crystal Black Pearl,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H71PB029697,PB029697,8,5,5,4,4,4,5,IL,Dealer,19,28,23.5
2022,Honda,Pilot TrailSport,New,46105,4.6,1874,Crystal Black Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H8XNB067454,NB067454,3042,5,5,5,5,5,5,IL,Dealer,19,25,22
2022,Honda,CR-V EX,New,32055,3.9,161,CRYSTAL BLACK,awd,Gasoline,cvt,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,7FARW2H59NE056453,62186,10,4.9,4.8,4.7,4.8,4.7,4.9,WI,Dealer,27,32,29.5
2023,Honda,Passport TrailSport,New,45580,4.8,1978,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H61PB003154,23099,2,5,5,4.9,5,4.9,5,IL,Dealer,19,24,21.5
2023,Honda,CR-V Hybrid Sport,New,34090,4.4,3,Platinum,fwd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H55PH701273,H5683,12,5,3,4,4,5,5,KY,Dealer,41.8,35.2,38.5
2022,Honda,Pilot Sport,New,40770,4.6,245,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H37NB103959,22H640,2,5,5,5,5,5,5,MI,Dealer,19,26,22.5
2022,Honda,Passport Elite,New,50125,5,5663,Black,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB016984,B016984,1,5,5,4.9,5,4.9,5,KY,Dealer,19,24,21.5
2022,Honda,Pilot Sport,New,40270,4.9,826,Platinum White,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H31NB104296,NB104296,4,5,5,5,5,5,5,MI,Dealer,19,26,22.5
2022,Honda,Pilot Sport,New,40270,4.9,826,Platinum White,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB104665,NB104665,4,5,5,5,5,5,5,MI,Dealer,19,26,22.5
2022,Honda,Accord Sport 2.0T,New,34755,5,38,Crystal Black Pearl,fwd,Gasoline,automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F31NA019607,52104,3,5,5,5,5,5,5,IN,Dealer,22,32,27
2022,Honda,Accord Sport 1.5T,New,30470,5,38,Sonic Gray Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F38NA099448,52045,255,5,5,5,5,5,5,IN,Dealer,29,35,32
2023,Honda,CR-V Hybrid Sport Touring,New,40240,4.4,38,Platinum White Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,7FARS6H94PE000459,53069,25,5,3,4,4,5,5,IN,Dealer,40,34,37
2022,Honda,Accord Sport SE,New,31960,5,38,Still Night Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F48NA118606,52097,6,5,5,5,5,5,5,IN,Dealer,29,35,32
2023,Honda,CR-V Hybrid Sport Touring,New,40240,5,4402,Urban Gray Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH800356,9760,176,5,3,4,4,5,5,GA,Dealer,40,34,37
2022,Honda,Passport EX-L,New,42053,4.5,1732,Crystal Black Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H54NB026819,496329,12,5,5,4.9,5,4.9,5,GA,Dealer,19,24,21.5
2023,Honda,CR-V Hybrid Sport,New,35745,4.5,1205,Meteorite Gray Metallic,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,7FARS6H51PE005941,PE005941,5,5,3,4,4,5,5,GA,Dealer,41.8,35.2,38.5
2022,Honda,Ridgeline RTL-E,New,45760,5,2546,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F72NB039434,NB039434,23,5,4.9,4.9,4.3,4.7,5,GA,Dealer,18,24,21
2022,Honda,Accord Hybrid Sport,New,32560,5,2546,Platinum White Pearl,fwd,Hybrid,automatic,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F22NA043282,NA043282,20,4.9,5,5,4.9,4.9,5,GA,Dealer,44,41,42.5
2022,Honda,Accord Hybrid Sport,New,32560,5,2546,Platinum White Pearl,fwd,Hybrid,automatic,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F20NA041191,NA041191,20,4.9,5,5,4.9,4.9,5,GA,Dealer,44,41,42.5
2022,Honda,Ridgeline RTL,New,42810,5,2546,Pacific Pewter Metallic,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F53NB038176,NB038176,23,5,4.9,4.9,4.3,4.7,5,GA,Dealer,18,24,21
2023,Honda,Odyssey Sport,New,43050,4.4,306,Sonic Gray Pearl,fwd,Gasoline,automatic,V6 Cylinder Engine,5FNRL6H78PB027428,234004,0,5,5,4,4,4,5,MI,Dealer,19,28,23.5
2022,Honda,Pilot Special Edition,New,44205,5,306,Crystal Black Pearl,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYF6H22NB091839,225045,6,5,5,5,5,5,5,MI,Dealer,19,26,22.5
2023,Honda,Odyssey Sport,New,43050,4.4,306,Platinum White Pearl,fwd,Gasoline,automatic,V6 Cylinder Engine,5FNRL6H78PB023332,234003,0,5,5,4,4,4,5,MI,Dealer,19,28,23.5
2023,Honda,Ridgeline RTL,New,43075,4.8,9,Crystal Black Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F57PB005121,830090,7,5,4.8,4.8,4.2,5,5,CA,Dealer,17.825,24.075,20.95
2022,Honda,Pilot TrailSport,New,46105,4.3,471,Crystal Black Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H80NB095165,NB095165,7,5,5,5,5,5,5,CA,Dealer,19,25,22
2022,Honda,Pilot Touring 7-Passenger,New,46465,5,12,Modern Steel Metallic,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF5H62NB035655,5735655,9,5,5,5,5,5,5,CA,Dealer,20,27,23.5
2023,Honda,HR-V LX,New,24895,4.6,23,Gray,fwd,Gasoline,automatic,2.0L I4 16V GDI DOHC,3CZRZ1H32PM713954,PM713954,80,4,5,4,5,5,5,CA,Dealer,27.03846154,31.76923077,29.40384615
2023,Honda,Ridgeline RTL-E,New,45920,4.8,6,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F70PB015829,X7015,5,5,4.8,4.8,4.2,5,5,NE,Dealer,18.10909091,24.21818182,21.16363636
2023,Honda,CR-V Hybrid Sport Touring,New,39845,4.8,2700,Meteorite Gray Metallic,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H91PH800231,H05130,16,5,3,4,4,5,5,TX,Dealer,40,34,37
2023,Honda,CR-V EX-L,New,36900,4.7,178,Still Night Pearl,awd,Gasoline,automatic,4 Cylinder Engine,2HKRS4H76PH400569,23-0048,12,5,5,5,4,4,5,MO,Dealer,27,32,29.5
2022,Honda,Pilot EX-L,New,42950,4.5,1627,Crystal Black Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H50NB094491,NB094491,7,5,5,5,5,5,5,IA,Dealer,19,26,22.5
2023,Honda,CR-V EX-L,New,36983,4.5,1627,Lunar Silver Metallic,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS4H71PH401354,PH401354,10,5,5,5,4,4,5,IA,Dealer,26.13043478,32.0326087,29.08152174
2022,Honda,Pilot Sport,New,39950,4.5,1627,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H32NB096368,NB096368,15,5,5,5,5,5,5,IA,Dealer,19,26,22.5
2023,Honda,Passport Elite,New,48250,4.5,1627,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H01PB001061,H13427,6,5,5,4.9,5,4.9,5,IA,Dealer,19,24,21.5
2023,Honda,Passport EX-L,New,42790,4.5,1627,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H52PB004384,H13462,6,4.9,4.8,4.8,4.6,4.8,4.8,IA,Dealer,19.23529412,24.23529412,21.73529412
2023,Honda,Passport EX-L,New,42790,3.7,270,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H53PB007049,23H192,2,4.9,4.8,4.8,4.6,4.8,4.8,IA,Dealer,19.23529412,24.23529412,21.73529412
2022,Honda,Pilot TrailSport,New,46500,5,14,Sonic Gray Pearl,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYF6H82NB102228,H22662,12,5,5,5,5,5,5,WI,Dealer,19,25,22
2022,Honda,Pilot Special Edition,New,44600,4.8,1077,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H21NB105276,NB105276,5,5,5,5,5,5,5,TN,Dealer,19,26,22.5
2022,Honda,Pilot Sport,New,37551,5,1516,Crystal Black Pearl,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF5H37NB038203,22833,5,5,5,5,5,5,5,LA,Dealer,20,27,23.5
2023,Honda,CR-V EX-L,New,37494,5,1349,Platinum White Pearl,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS4H72PH401718,J30040,5,5,5,5,4,4,5,IL,Dealer,26.13043478,32.0326087,29.08152174
2022,Honda,Pilot EX-L,New,43605,4.6,1874,Lunar Silver Metallic,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H53NB096722,NB096722,10,5,5,5,5,5,5,IL,Dealer,19,26,22.5
2023,Honda,HR-V LX,New,24895,4.7,739,Modern Steel Metallic,fwd,Gasoline,automatic,2.0L I4 16V GDI DOHC,3CZRZ1H37PM710340,C17613,1,4,5,4,5,5,5,IL,Dealer,27.03846154,31.76923077,29.40384615
2022,Honda,Pilot Special Edition,New,43600,4.6,245,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H29NB105428,22H645,5,5,5,5,5,5,5,MI,Dealer,19,26,22.5
2022,Honda,Accord Sport 2.0T,New,34755,5,38,Crystal Black Pearl,fwd,Gasoline,automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F3XNA025034,52101,81,5,5,5,5,5,5,IN,Dealer,22,32,27
2023,Honda,CR-V EX,New,34405,4.7,38,Canyon,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,7FARS4H48PE012977,53123,3,5,5,5,4,4,5,IN,Dealer,26.14772727,31.85227273,29
2022,Honda,Accord Hybrid Sport,New,32158,3,2142,Sonic Gray Pearl,fwd,Hybrid,automatic,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F2XNA032871,41765-14,0,4.9,5,5,4.9,4.9,5,OH,Dealer,44,41,42.5
2022,Honda,Accord Hybrid Sport,New,32560,5,2546,Still Night Pearl,fwd,Hybrid,automatic,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F2XNA041327,NA041327,20,4.9,5,5,4.9,4.9,5,GA,Dealer,44,41,42.5
2022,Honda,Pilot EX-L,New,43195,5,306,Platinum White Pearl,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYF6H53NB087521,225043,0,5,5,5,5,5,5,MI,Dealer,19,26,22.5
2022,Honda,Passport EX-L,New,40995,4.9,306,Crystal Black Pearl,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYF8H51NB026292,226018,0,5,5,4.9,5,4.9,5,MI,Dealer,19,24,21.5
2023,Honda,CR-V Hybrid Sport Touring,New,39845,4.8,3335,Lunar Silver Metallic,awd,Hybrid,cvt,Gas/Electric I-4 2.0 L/122,2HKRS6H91PH800343,QG23185,0,5,3,4,4,5,5,GA,Dealer,40,34,37
2023,Honda,CR-V Hybrid Sport Touring,New,40240,4.8,3335,Platinum White Pearl,awd,Hybrid,cvt,Gas/Electric I-4 2.0 L/122,2HKRS6H93PH801655,QG23260,0,5,3,4,4,5,5,GA,Dealer,40,34,37
2022,Honda,Pilot TrailSport,New,48343,4.6,1097,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H87NB094305,27195,10,5,5,5,5,5,5,GA,Dealer,19,25,22
2023,Honda,CR-V Hybrid Sport Touring,New,41688,4.6,1097,Crystal Black Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH800437,27289,5,5,3,4,4,5,5,GA,Dealer,40,34,37
2022,Honda,Pilot Special Edition,New,44600,5,14,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H27NB086197,17243,2,5,5,5,5,5,5,OH,Dealer,19,26,22.5
2022,Honda,Pilot Sport,New,41770,5,14,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H33NB105577,17405,2,5,5,5,5,5,5,OH,Dealer,19,26,22.5
2023,Honda,CR-V Hybrid Sport Touring,New,40240,4.4,14,Platinum White Pearl,awd,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H93PH800554,17357,3,5,3,4,4,5,5,OH,Dealer,40,34,37
2023,Honda,CR-V Hybrid Sport Touring,New,39845,4.9,671,Crystal Black Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H96PH800466,64820,0,5,3,4,4,5,5,OH,Dealer,40,34,37
